part_of_collection,budget,popularity,production_companies,release_month,release_year,revenue,runtime,spoken_languages,vote_average,vote_count,animation department,art department,camera and electrical department,cast,casting department,costume department,distributors,editorial department,music department,rating,visual effects,votes,genre,overview_length,tagline_length,plot_length,plot_outline_length,mpaa_rating_text_length,id,mpaa_rating_NR,mpaa_rating_PG,mpaa_rating_PG-13,mpaa_rating_R,overview_cluster_0,overview_cluster_1,overview_cluster_2,overview_cluster_3,overview_cluster_4,overview_cluster_5,overview_cluster_6,tagline_cluster_0,tagline_cluster_1,tagline_cluster_2,tagline_cluster_3,tagline_cluster_4,plot_cluster_0,plot_cluster_1,plot_cluster_2,plot_cluster_3,plot_cluster_4,plot_cluster_5,plot_cluster_6,plot_cluster_7,plot_cluster_8,plot_cluster_9,plot outline_cluster_0,plot outline_cluster_1,plot outline_cluster_2,plot outline_cluster_3,plot outline_cluster_4,plot outline_cluster_5,plot outline_cluster_6,plot outline_cluster_7,plot outline_cluster_8,plot outline_cluster_9,mpaa_rating_text_cluster_0,mpaa_rating_text_cluster_1,mpaa_rating_text_cluster_2,mpaa_rating_text_cluster_3,mpaa_rating_text_cluster_4,mpaa_rating_text_cluster_5,mpaa_rating_text_cluster_6,mpaa_rating_text_cluster_7,mpaa_rating_text_cluster_8,mpaa_rating_text_cluster_9,poster_path,pp
False,35000000,0.234578,2,9,2000,0,119.0,1,6.1,37,0.0,21.0,40.0,57.0,2.0,2.0,18.0,11.0,12.0,5.7,23.0,9359.0,Thriller,490,84,1630,61,43,14805,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14805,poster_images/14805-Bait.jpg
False,0,0.165849,2,9,2011,0,90.0,2,2.0,1,0.0,4.0,1.0,7.0,0.0,2.0,1.0,2.0,0.0,6.4,1.0,42.0,Drama,564,47,0,0,0,112062,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112062,poster_images/112062-X-Deal.jpg
False,0,0.170372,1,1,1997,0,95.0,1,3.6,17,0.0,5.0,7.0,23.0,1.0,1.0,12.0,2.0,0.0,3.8,0.0,2375.0,Drama - Thriller,123,0,315,123,59,17100,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17100,poster_images/17100-Trucks.jpg
False,0,0.239357,2,3,2014,0,88.0,1,4.5,17,0.0,1.0,20.0,51.0,2.0,4.0,4.0,5.0,3.0,3.6,0.0,2032.0,Comedy,460,41,460,122,0,269242,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269242,poster_images/269242-Alpha House.jpg
False,0,0.238628,2,9,1981,0,105.0,2,6.8,61,0.0,6.0,12.0,24.0,1.0,2.0,25.0,6.0,9.0,7.2,0.0,12573.0,Thriller,271,62,271,105,0,12528,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12528,poster_images/12528-Southern Comfort.jpg
False,10000000,0.172122,1,10,2001,7316658,96.0,2,4.5,30,0.0,23.0,36.0,43.0,4.0,5.0,13.0,14.0,19.0,4.1,36.0,5748.0,Horror,152,33,721,152,44,11380,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11380,poster_images/11380-Bones.jpg
False,0,0.584517,3,10,2014,8251,100.0,1,6.4,55,0.0,6.0,30.0,38.0,1.0,4.0,3.0,3.0,3.0,7.2,4.0,7321.0,Drama,217,0,483,155,0,253254,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253254,poster_images/253254-Before I Disappear.jpg
True,50000000,1.482318,2,2,2016,55969000,100.0,1,4.7,639,0.0,44.0,93.0,125.0,6.0,31.0,18.0,17.0,40.0,4.8,189.0,47357.0,Comedy,106,14,769,120,85,329833,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329833,poster_images/329833-Zoolander 2.jpg
False,0,1.013553,1,4,2016,0,87.0,1,6.1,93,0.0,21.0,20.0,53.0,6.0,2.0,12.0,9.0,4.0,6.4,3.0,8337.0,Comedy,184,91,476,213,13,301348,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301348,poster_images/301348-Elvis & Nixon.jpg
False,15000000,0.205053,1,2,2002,52970014,88.0,3,5.5,140,0.0,24.0,44.0,53.0,4.0,5.0,17.0,7.0,18.0,5.4,2.0,29927.0,Family,397,28,568,185,13,11870,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11870,poster_images/11870-Big Fat Liar.jpg
