Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,key_genre
,0.325386761349,0.0735480598529,0.210499619579,0.213542987573,0.00278975399442,0.325640375349,0.0489475019021,0.104488967791,0.0451432919097,0.0753233578494,0.00557950798884,0.0423535379153,0.0626426578747,0.20517372559,0.0101445599797,0.38498605123,0.0502155718996,0.0400710119199,Action
0.542724196277,,0.181895093063,0.260575296108,0.0655668358714,0.00423011844332,0.271996615905,0.253807106599,0.239424703892,0.0478003384095,0.0389170896785,0.010152284264,0.0342639593909,0.0862944162437,0.206852791878,0.0135363790186,0.182741116751,0.0372250423012,0.0346869712352,Adventure
0.214655810511,0.318282753516,,0.320503330866,0.020725388601,0.00740192450037,0.0969652109548,0.524796447076,0.227979274611,0.00814211695041,0.0229459659511,0.0347890451517,0.0266469282013,0.0355292376018,0.152479644708,0.0170244263509,0.0259067357513,0.00518134715026,0.00222057735011,Animation
0.141662399727,0.10513739546,0.073903396484,,0.0793650793651,0.00477897252091,0.319849803721,0.133811230585,0.0769755931046,0.00665642601126,0.0493258235194,0.037037037037,0.0204813108039,0.249018603857,0.0552995391705,0.0131421744325,0.0588837685612,0.00819252432156,0.010411332992,Comedy
0.383773928897,0.0706472196901,0.0127620783956,0.21194165907,,0.00501367365542,0.581586144029,0.0113947128532,0.0136736554239,0.0100273473108,0.0505925250684,0.00957155879672,0.171832269827,0.0665451230629,0.0237010027347,0.0077484047402,0.565633546035,0.00455788514129,0.00820419325433,Crime
0.0187393526405,0.0170357751278,0.0170357751278,0.0477001703578,0.0187393526405,,0.0698466780239,0.0238500851789,0.00511073253833,0.0323679727428,0.0187393526405,0.0936967632027,0.00511073253833,0.00511073253833,0.00681431005111,0.00511073253833,0.0119250425894,0.0170357751278,0.0,Documentary
0.144806586219,0.0725160708244,0.0147738806812,0.211345438141,0.143904364498,0.00462388632006,,0.0412766437352,0.0436449757528,0.064847186196,0.0466899740611,0.0299988722228,0.0685688507951,0.233337092591,0.0398105334386,0.0131949926694,0.220818766212,0.0512010826661,0.0147738806812,Drama
0.115086463924,0.357781753131,0.422778771616,0.467501490757,0.0149075730471,0.00834824090638,0.21824686941,,0.25939177102,0.00536672629696,0.00536672629696,0.046511627907,0.0196779964222,0.0882528324389,0.0983899821109,0.0399522957662,0.0113297555158,0.00238521168754,0.00417412045319,Family
0.282967032967,0.388736263736,0.211538461538,0.309752747253,0.0206043956044,0.00206043956044,0.265796703297,0.298763736264,,0.00549450549451,0.131181318681,0.0260989010989,0.0542582417582,0.14010989011,0.247252747253,0.0247252747253,0.112637362637,0.00412087912088,0.00480769230769,Fantasy
0.259097525473,0.164483260553,0.0160116448326,0.056768558952,0.0320232896652,0.0276564774381,0.836972343523,0.0131004366812,0.0116448326055,,0.0101892285298,0.0203784570597,0.0116448326055,0.149927219796,0.00727802037846,0.0218340611354,0.0858806404658,0.2634643377,0.0203784570597,History
0.132589285714,0.0410714285714,0.0138392857143,0.129017857143,0.0495535714286,0.00491071428571,0.184821428571,0.00401785714286,0.0852678571429,0.003125,,0.00535714285714,0.143303571429,0.0232142857143,0.183035714286,0.0111607142857,0.478571428571,0.00357142857143,0.00491071428571,Horror
0.0402193784278,0.0438756855576,0.0859232175503,0.396709323583,0.0383912248629,0.100548446069,0.486288848263,0.142595978062,0.0694698354662,0.0255941499086,0.0219378427788,,0.0164533820841,0.303473491773,0.0164533820841,0.0219378427788,0.0292504570384,0.0091407678245,0.0127970749543,Music
0.136661211129,0.0662847790507,0.0294599018003,0.0981996726678,0.308510638298,0.00245499181669,0.497545008183,0.0270049099836,0.0646481178396,0.00654664484452,0.262684124386,0.00736497545008,,0.0752864157119,0.0924713584288,0.0286415711948,0.659574468085,0.00900163666121,0.00409165302782,Mystery
0.0792682926829,0.0654685494223,0.01540436457,0.468228498074,0.0468549422336,0.000962772785623,0.663992297818,0.0474967907574,0.0654685494223,0.033055198973,0.0166880616175,0.0532734274711,0.0295250320924,,0.0314505776637,0.0186136071887,0.0834403080873,0.0282413350449,0.0141206675225,Romance
0.461494580719,0.278950370793,0.11751283514,0.18482601255,0.0296634341129,0.00228180262407,0.201369081574,0.094124358243,0.205362236167,0.00285225328009,0.233884768967,0.00513405590416,0.0644609241301,0.0559041642898,,0.0193953223046,0.31660011409,0.00570450656018,0.00399315459213,Science Fiction
0.13468013468,0.107744107744,0.0774410774411,0.259259259259,0.0572390572391,0.010101010101,0.393939393939,0.225589225589,0.121212121212,0.0505050505051,0.0841750841751,0.040404040404,0.117845117845,0.195286195286,0.114478114478,,0.148148148148,0.016835016835,0.016835016835,TV Movie
0.349447513812,0.0994475138122,0.00805709023941,0.0794198895028,0.285681399632,0.00161141804788,0.45073664825,0.00437384898711,0.0377532228361,0.0135819521179,0.246777163904,0.0036832412523,0.185543278085,0.0598526703499,0.127762430939,0.0101289134438,,0.0186464088398,0.00782688766114,Thriller
0.341379310345,0.151724137931,0.0120689655172,0.0827586206897,0.0172413793103,0.0172413793103,0.78275862069,0.00689655172414,0.0103448275862,0.312068965517,0.0137931034483,0.00862068965517,0.0189655172414,0.151724137931,0.0172413793103,0.00862068965517,0.139655172414,,0.0206896551724,War
0.448863636364,0.232954545455,0.00852272727273,0.173295454545,0.0511363636364,0.0,0.372159090909,0.0198863636364,0.0198863636364,0.0397727272727,0.03125,0.0198863636364,0.0142045454545,0.125,0.0198863636364,0.0142045454545,0.0965909090909,0.0340909090909,,Western
