,Action,Comedy,Documentary,Drama,Family,Horror,Romance,Thriller
0,0.0443654060364,0.708219587803,0.000131394626806,0.0745718255639,0.00271341903135,0.123244345188,0.0226637050509,0.0240902993828
1,0.00704067619517,0.479302316904,0.000103302249045,0.471387833357,0.000332186202286,0.00161191343796,0.0344634726644,0.00575826270506
2,0.00164586142637,0.000501531583723,3.62000064342e-05,0.991318225861,0.000158798487973,9.69117718341e-06,0.00623554596677,9.41570688155e-05
3,0.00752238743007,0.00210571987554,0.000104813276266,0.965102791786,0.000103099955595,0.00106119748671,0.00363777275197,0.0203621666878
4,0.0118914945051,0.0386267267168,0.871229588985,0.0441205315292,0.0261437296867,0.0029212939553,0.00115102750715,0.00391562469304
5,0.28111204505,0.021847885102,0.0144213577732,0.464265137911,0.00106425699778,0.154782131314,0.0338028147817,0.0287044160068
6,0.49222612381,0.00613555824384,0.000527363037691,0.323504954576,0.00555015541613,0.00367796607316,0.0104948086664,0.15788307786
7,0.250131487846,0.63496696949,0.00108846300282,0.0395056381822,0.00130985479336,0.000677910633385,0.0680945813656,0.00422509294003
8,0.00463178940117,0.170427665114,0.000198970505153,0.100558675826,0.00307344621979,0.000396782706957,0.0490228682756,0.671689808369
9,0.529827952385,0.00834129657596,0.000544116366655,0.450206786394,0.000359089754056,0.000437106820755,0.00836572982371,0.00191786140203
10,0.00812610331923,0.216010004282,0.00095991458511,0.00206661759876,0.771688342094,0.000736185407732,0.000188453661394,0.000224402494496
11,0.0800810083747,0.00107764720451,0.00049103226047,0.906555294991,0.000643399602268,0.000632078328636,0.00206961436197,0.00844992697239
12,0.0742301940918,0.00317982863635,4.75696870126e-05,0.891538023949,0.000275100028375,0.00131004420109,0.0235399082303,0.00587927317247
13,0.00592415453866,0.786775171757,0.00011490626639,0.0249917786568,0.000167113495991,0.0286975558847,0.000266952032689,0.153062388301
14,0.0110779711977,0.243701830506,0.000171057530679,0.0275195110589,0.000227959157201,0.697643220425,0.00254502869211,0.0171134378761
15,0.0048332423903,0.411937266588,0.00022620386153,0.290575265884,0.00142049905844,0.275480985641,0.00623941421509,0.00928718503565
16,0.0819528624415,0.0111735993996,0.000118996569654,0.0341472886503,0.00152200600132,0.828617453575,0.0343953706324,0.00807249359787
17,0.00413645431399,0.000125714257592,0.993962109089,0.000870851625223,0.000241386442212,0.000607709516771,5.55957285542e-06,5.01389040437e-05
18,0.929265022278,0.0271645486355,0.000317906495184,0.0195460878313,0.0175622086972,0.000509366858751,0.00135364779271,0.00428125634789
19,0.0115159461275,0.141058728099,0.00228668027557,0.352795988321,0.0256970077753,0.00514606432989,0.457575201988,0.00392441917211
20,0.383184671402,0.0470237098634,8.69496070663e-05,0.00843334197998,0.458386808634,0.0060041914694,0.0013631664915,0.0955171585083
21,0.00858708936721,0.150418490171,0.00403619557619,0.00276967510581,0.833454489708,0.000176886067493,0.000432282249676,0.000124821119243
22,0.000872997276019,0.994331717491,1.19760234156e-05,0.000330547685735,6.1245787947e-05,0.00054803781677,0.000191349041415,0.00365216075443
23,0.0606584958732,0.166022896767,0.000372081150999,0.121118657291,0.00086511252448,0.0159512739629,0.0345229692757,0.60048854351
24,0.00289282714948,0.0201431680471,0.623206377029,0.331606507301,0.000652873946819,0.000516193220392,0.0191386733204,0.00184335093945
25,0.011380776763,0.0154296429828,0.000726676371414,0.728347480297,0.000805407529697,0.0442730374634,0.00797876808792,0.191058188677
26,0.00855797342956,0.381162315607,0.00119790330064,0.0818158015609,0.466065615416,0.0047616888769,0.019579609856,0.0368590839207
