part_of_collection,budget,genres,id,imdb_id,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,tagline,title,vote_average,vote_count
FALSE,3000000,"[{u'id': 28, u'name': u'Action'}, {u'id': 12, u'name': u'Adventure'}, {u'id': 80, u'name': u'Crime'}, {u'id': 18, u'name': u'Drama'}, {u'id': 53, u'name': u'Thriller'}]",20304,354766,"[u""A drug kingpin's return home touches off a turf war.""]",0.394029,/uQy6wONTZA5hxHk7ktipRFYm8KO.jpg,[],"[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",3/26/2004,5923000,88,"[{u'iso_639_1': u'en', u'name': u'English'}]",[u'No king rules forever.'],[u'Never Die Alone'],5.9,27
FALSE,0,"[{u'id': 28, u'name': u'Action'}, {u'id': 53, u'name': u'Thriller'}, {u'id': 80, u'name': u'Crime'}]",380754,4287348,"[u'Inspired by the true events of a couple vacationing on a remote island in the Bahamas who are hunted by a group of modern-day pirates, after their identities and their lives.']",0.306831,/f3jbXtnMu8FumhlAnMPy4JDzF88.jpg,[],[],10/31/2015,0,0,"[{u'iso_639_1': u'en', u'name': u'English'}]",[u''],[u'Isolation'],5.5,2
FALSE,0,"[{u'id': 28, u'name': u'Action'}, {u'id': 80, u'name': u'Crime'}, {u'id': 53, u'name': u'Thriller'}]",20307,98188,"[u'Buster McHenry (Sutherland) is as an undercover agent for the police. His mission involves him in a robbery. Buster gets shot but Hank Storm (Phillips), an Indian, helps Buster. Since Hank wants a spear in the possession of the criminals that Buster is after, they team up.']",0.265168,/b2v6bdRAZIO6vU4jH34xwZAQq2E.jpg,"[{u'name': u'Universal Pictures', u'id': 33}, {u'name': u'Morgan Creek Productions', u'id': 10210}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",6/2/1989,0,106,"[{u'iso_639_1': u'en', u'name': u'English'}]",[u''],[u'Renegades'],5.2,16
FALSE,0,"[{u'id': 9648, u'name': u'Mystery'}, {u'id': 53, u'name': u'Thriller'}]",118612,1799508,"[u'When two bus crash survivors awake to discover that they are the only people left in their small town, they must form an unlikely alliance in a race to unravel the truth behind their isolation. As strange events begin to unfold, they start to question whether the town they know so well is really what it seems.']",0.449612,/5Wj6IazHsDQOJDnlOfJBVirUEDG.jpg,"[{u'name': u'Seabourne Pictures', u'id': 25566}, {u'name': u'Quite Quick Productions', u'id': 25567}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",8/27/2012,0,90,"[{u'iso_639_1': u'en', u'name': u'English'}]",[u''],[u'After'],5.5,52
FALSE,25000000,"[{u'id': 35, u'name': u'Comedy'}, {u'id': 10749, u'name': u'Romance'}]",20309,239949,"[u""Boy meets girl; boy falls in love (and had wild, non-stop sex) with girl; boy loses girl... when they discover they are brother and sister! But when he learns that he's the victim of the ultimate case of mistaken identity, the lovesick young man -- whom everyone still thinks is after some taboo thrills -- must race across the country to stop her from marrying another man.""]",0.24752,/c9h3BHLFXrXrpJ3xgwp0Bf9niP3.jpg,"[{u'name': u'20th Century Fox', u'id': 25}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",3/12/2001,0,95,"[{u'iso_639_1': u'en', u'name': u'English'}]",[u''],"[u""Say It Isn't So""]",5,38
FALSE,0,"[{u'id': 35, u'name': u'Comedy'}, {u'id': 10749, u'name': u'Romance'}]",20310,207161,[u'Two single parents - male and female - along with their kids have to involuntarily share a house for their holidays.'],0.181982,/klxbhnA8ZhruDAIovnRCl9iEiLY.jpg,[],"[{u'iso_3166_1': u'US', u'name': u'United States of America'}, {u'iso_3166_1': u'DE', u'name': u'Germany'}]",1/1/2000,0,87,"[{u'iso_639_1': u'en', u'name': u'English'}]",[u''],[u'Time Share'],5.3,3
FALSE,7000000,"[{u'id': 12, u'name': u'Adventure'}, {u'id': 35, u'name': u'Comedy'}, {u'id': 18, u'name': u'Drama'}, {u'id': 14, u'name': u'Fantasy'}, {u'id': 9648, u'name': u'Mystery'}]",20312,165832,[u'An aspiring painter meets various characters and learns valuable lessons while traveling across America.'],1.035374,/x6YCgO1u4eIvt5PXNJyFeoxh1Lw.jpg,"[{u'name': u'Fireworks Pictures', u'id': 3857}]","[{u'iso_3166_1': u'CA', u'name': u'Canada'}, {u'iso_3166_1': u'US', u'name': u'United States of America'}]",4/13/2002,0,116,"[{u'iso_639_1': u'en', u'name': u'English'}]","[u'It began as a wish, became an adventure, and ended as the ultimate road trip.']",[u'Interstate 60'],7,104
FALSE,0,"[{u'id': 10402, u'name': u'Music'}]",20313,1270491,"[u""Where The Light Is: John Mayer Live in Los Angeles captures the multi-Grammy\xae Award-winning, Platinum-selling singer/songwriter in the element where fans love him the most: live on stage. This special concert includes three sets: an acoustic performance, a rare set with John Mayer Trio (John Mayer, Steve Jordan and Pino Palladino), as well as a set featuring Mayer's full band.""]",0.16424,/iMMNlZ7gWPOuFzGdSVX5YiylOT3.jpg,[],[],7/1/2008,0,164,[],[u''],[u'John Mayer: Where the Light Is Live in Los Angeles'],8.5,16
FALSE,0,"[{u'id': 18, u'name': u'Drama'}, {u'id': 36, u'name': u'History'}]",20318,117093,"[u'An American spy behind the lines during WWII serves as a Nazi propagandist, a role he cannot escape in his future life as he can never reveal his real role in the war.']",0.304838,/1U6OkXtr4WuOlQe4FmCbznIExtK.jpg,"[{u'name': u'Fine Line Features', u'id': 8}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",11/1/1996,0,114,"[{u'iso_639_1': u'en', u'name': u'English'}, {u'iso_639_1': u'de', u'name': u'Deutsch'}, {u'iso_639_1': u'yi', u'name': u''}]",[u'The truth is more shocking than the uniform he wears... HE WAS AN AMERICAN SPY.'],[u'Mother Night'],6.8,12
FALSE,0,"[{u'id': 53, u'name': u'Thriller'}, {u'id': 18, u'name': u'Drama'}, {u'id': 27, u'name': u'Horror'}]",20323,1098356,[u'Mother Nature gets revenge on some careless campers in this remastered version of the Australian horror classic.'],0.250793,/xfYtbkTGKUlK5qQiuTue4i9wbc8.jpg,[],"[{u'iso_3166_1': u'AU', u'name': u'Australia'}]",8/14/2009,0,87,"[{u'iso_639_1': u'en', u'name': u'English'}]",[u''],[u'Long Weekend'],5.5,26
