adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,movie_status_code,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,/p7Q8RuElbCsVEb6TZ3vTXY5M5ev.jpg,,100000000,"[{u'id': 28, u'name': u'Action'}, {u'id': 80, u'name': u'Crime'}]",,314,tt0327554,200,en,[u'Catwoman'],"[u'Liquidated after discovering a corporate conspiracy, mild-mannered graphic artist Patience Phillips washes up on an island, where she\'s resurrected and endowed with the prowess of a cat -- and she\'s eager to use her new skills ... as a vigilante. Before you can say ""cat and mouse,"" handsome gumshoe Tom Lone is on her tail.']",0.983421,/3E1XPZ2lZmL4lJV1KSUi1jaSx3w.jpg,"[{u'name': u'Village Roadshow Pictures', u'id': 79}, {u'name': u'DiNovi Pictures', u'id': 813}, {u'name': u'Warner Bros.', u'id': 6194}, {u'name': u'Frantic Films', u'id': 52945}, {u'name': u'Maple Shade Films', u'id': 52946}, {u'name': u'Catwoman Films', u'id': 52947}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",2004-07-22,82102379,104.0,"[{u'iso_639_1': u'es', u'name': u'Espa\xf1ol'}, {u'iso_639_1': u'en', u'name': u'English'}]",Released,CATch Her In IMAX,[u'Catwoman'],False,4.2,569
False,/uqq2Pdb9eWXQz0Fe8IMpDvbOutD.jpg,"{u'backdrop_path': u'/lidPLbyE1JCUacEDOzkTCncCPBL.jpg', u'poster_path': u'/olpnvtLgoScLiCg3YHJ3f27F98f.jpg', u'id': 17178, u'name': u'Jackass Collection'}",0,"[{u'id': 35, u'name': u'Comedy'}, {u'id': 99, u'name': u'Documentary'}, {u'id': 28, u'name': u'Action'}]",http://www.jackassmovie.com/#/dvd,65851,tt1753968,200,en,[u'Jackass 3.5'],"[u'Jackass 3.5 is a 2011 sequel to Jackass 3D, composed of unused footage shot during the filming of Jackass 3D and interviews from cast and crew']",0.62096,/ppjN0BZaOJ6aHMXsECHJ0dpFb8Z.jpg,"[{u'name': u'Paradise F.X. Corp.', u'id': 7277}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",2011-08-03,0,85.0,"[{u'iso_639_1': u'en', u'name': u'English'}]",Released,,[u'Jackass 3.5'],False,6.1,128
False,/p7ip6FN0CLtwbA1tG0SIwgTaYuw.jpg,,0,"[{u'id': 28, u'name': u'Action'}]",,65852,tt1851871,200,cn,[u'\u8521\u674e\u4f5b'],"[u""Having taken his father's advice, one man decides to return home in pursuit of a fresh start. While training at his father's martial arts school, he learns that his father has given consent to sell the school to a rival martial arts school.""]",0.29577,/dm6dImtAMzkJuC2JAAnLzqntDM7.jpg,"[{u'name': u'Guangzhou Yifeng Film Culture', u'id': 67040}, {u'name': u'Film Asia Entertainment Group', u'id': 67041}]","[{u'iso_3166_1': u'CN', u'name': u'China'}]",2011-03-31,0,133.0,"[{u'iso_639_1': u'cn', u'name': u'\u5e7f\u5dde\u8bdd / \u5ee3\u5dde\u8a71'}, {u'iso_639_1': u'de', u'name': u'Deutsch'}]",Released,Survival has a price.,[u'Fight the Fight'],False,5.4,8
False,/68NhzP7UNspJSdGeQFypsqqSXdK.jpg,,0,"[{u'id': 18, u'name': u'Drama'}, {u'id': 36, u'name': u'History'}]",http://www.esmasgeheimnis.de/,317,tt0464029,200,bs,[u'Grbavica'],[u'A woman and her daughter struggle to make their way through the aftermath of the Balkan war.. The film won the award for Best Film at the 2006 Berlin Film.'],0.154598,/hwCA69IOLhT74RrERPWElQx5ZYQ.jpg,"[{u'name': u'Coop 99', u'id': 122}, {u'name': u'Deblokada', u'id': 167}, {u'name': u'Jadran Film', u'id': 168}, {u'name': u'Noirfilm', u'id': 169}]","[{u'iso_3166_1': u'HR', u'name': u'Croatia'}, {u'iso_3166_1': u'BA', u'name': u'Bosnia and Herzegovina'}, {u'iso_3166_1': u'AT', u'name': u'Austria'}, {u'iso_3166_1': u'DE', u'name': u'Germany'}]",2006-01-01,0,90.0,"[{u'iso_639_1': u'bs', u'name': u'Bosanski'}, {u'iso_639_1': u'sr', u'name': u'Srpski'}]",Released,,[u'Grbavica: The Land of My Dreams'],False,7.3,13
False,/xl2SJOO3eiZ4IcwT6LR1baha61o.jpg,,8000000,"[{u'id': 18, u'name': u'Drama'}, {u'id': 53, u'name': u'Thriller'}]",,318,tt0120753,200,en,[u'The Million Dollar Hotel'],[u'The Million Dollar Hotel starts with a jump from a roof top that clears up a death in a hotel that was burning to the ground where a lot of strange people had been living. The film was made in collaboration with Bono and the soundtrack is also from U2.'],0.166205,/4wxOzpCjXY2RQgS3YoHuvKdItTF.jpg,"[{u'name': u'Kintop Pictures', u'id': 1490}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}, {u'iso_3166_1': u'DE', u'name': u'Germany'}]",2000-02-09,0,122.0,"[{u'iso_639_1': u'en', u'name': u'English'}, {u'iso_639_1': u'es', u'name': u'Espa\xf1ol'}]",Released,,[u'The Million Dollar Hotel'],False,5.8,59
False,/f7EbIN1bMf8tOtoSmiqd6mO5p4P.jpg,,12500000,"[{u'id': 28, u'name': u'Action'}, {u'id': 53, u'name': u'Thriller'}, {u'id': 80, u'name': u'Crime'}, {u'id': 10749, u'name': u'Romance'}]",,319,tt0108399,200,en,[u'True Romance'],"[u'Clarence marries hooker Alabama, steals cocaine from her pimp, and tries to sell it in Hollywood, while the owners of the coke try to reclaim it.']",1.57556,/xBO8R3CZfrJ9rrwrZoJ68PgJyAR.jpg,"[{u'name': u'Davis-Films', u'id': 342}, {u'name': u'August Entertainment', u'id': 3322}, {u'name': u'Warner Bros.', u'id': 6194}, {u'name': u'Morgan Creek Productions', u'id': 10210}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",1993-09-09,12281551,120.0,"[{u'iso_639_1': u'en', u'name': u'English'}, {u'iso_639_1': u'it', u'name': u'Italiano'}]",Released,"Stealing, Cheating, Killing. Who said romance was dead?",[u'True Romance'],False,7.5,596
False,/5ezMAWNO5ybkrEnxrgCy74krBa6.jpg,,46000000,"[{u'id': 80, u'name': u'Crime'}, {u'id': 9648, u'name': u'Mystery'}, {u'id': 53, u'name': u'Thriller'}]",,320,tt0278504,200,en,[u'Insomnia'],"[u""Two Los Angeles homicide detectives are dispatched to a northern town where the sun doesn't set to investigate the methodical murder of a local teen.""]",1.974225,/zb0D3vfjcPFvuyHp1mFPOIcYJWH.jpg,"[{u'name': u'Section Eight', u'id': 129}, {u'name': u'Alcon Entertainment', u'id': 1088}, {u'name': u'Witt/Thomas Productions', u'id': 1089}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",2002-05-24,113714830,118.0,"[{u'iso_639_1': u'en', u'name': u'English'}]",Released,A tough cop. A brilliant killer. An unspeakable crime.,[u'Insomnia'],False,6.7,817
False,/66ZxzxXWnfy7sBZXk78njNVIgOb.jpg,,25000000,"[{u'id': 53, u'name': u'Thriller'}, {u'id': 80, u'name': u'Crime'}, {u'id': 18, u'name': u'Drama'}, {u'id': 9648, u'name': u'Mystery'}]",,322,tt0327056,200,en,[u'Mystic River'],"[u'A story about friendship and loyalty, guilt and vengeance, and the fateful affect the past has on the present.']",1.671312,/qeHasONCKH5sR9HcTWquXI5ZN5y.jpg,"[{u'name': u'Village Roadshow Pictures', u'id': 79}, {u'name': u'Malpaso Productions', u'id': 171}, {u'name': u'NPV Entertainment', u'id': 172}, {u'name': u'Warner Bros.', u'id': 6194}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",2003-10-07,156822020,138.0,"[{u'iso_639_1': u'en', u'name': u'English'}]",Released,"We bury our sins, we wash them clean.",[u'Mystic River'],False,7.5,1040
False,/iF5ix0kDBBdcJpMTAwa41znmxC1.jpg,,33000000,"[{u'id': 28, u'name': u'Action'}, {u'id': 80, u'name': u'Crime'}, {u'id': 27, u'name': u'Horror'}, {u'id': 53, u'name': u'Thriller'}]",,326,tt0417148,200,en,[u'Snakes on a Plane'],"[u'America is on the search for the murderer Eddie Kim. Sean Jones must fly to L.A. to testify in a hearing against Kim. Accompanied by FBI agent Neville Flynn, the flight receives some unexpected visitors.']",0.865892,/dbt9YEAPZjd0LbaK1r8UnOZp2Uv.jpg,"[{u'name': u'New Line Cinema', u'id': 12}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",2006-08-06,62022014,105.0,"[{u'iso_639_1': u'en', u'name': u'English'}, {u'iso_639_1': u'th', u'name': u'\u0e20\u0e32\u0e29\u0e32\u0e44\u0e17\u0e22'}]",Released,"At 30,000 feet, snakes aren't the deadliest thing on this plane.",[u'Snakes on a Plane'],False,5.2,374
False,/mzWfLcACutCI9DONtbKMlzjDsJt.jpg,,0,"[{u'id': 80, u'name': u'Crime'}, {u'id': 18, u'name': u'Drama'}]",,98631,tt1900893,200,ja,[u'\u30d2\u30df\u30ba'],[u'Two teenagers and a group of people made homeless by a tsunami try and make their way in a devastated Japan'],0.40477,/1FN0ei4MTSdWpt8HNCRwoWs6EpL.jpg,"[{u'name': u'GAGA', u'id': 3656}, {u'name': u'Kodansha', u'id': 6999}, {u'name': u'Studio Three', u'id': 25348}]","[{u'iso_3166_1': u'JP', u'name': u'Japan'}]",2011-09-06,0,129.0,"[{u'iso_639_1': u'ja', u'name': u'\u65e5\u672c\u8a9e'}]",Released,,[u'Himizu'],False,7.2,26
False,/pquyhnE9XxHOZqpFS2V6vzt0Dry.jpg,"{u'backdrop_path': u'/pJjIH9QN0OkHFV9eue6XfRVnPkr.jpg', u'poster_path': u'/qIm2nHXLpBBdMxi8dvfrnDkBUDh.jpg', u'id': 328, u'name': u'Jurassic Park Collection'}",63000000,"[{u'id': 12, u'name': u'Adventure'}, {u'id': 878, u'name': u'Science Fiction'}]",http://www.jurassicpark.com/,329,tt0107290,200,en,[u'Jurassic Park'],"[u'A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape.']",1.706574,/c414cDeQ9b6qLPLeKmiJuLDUREJ.jpg,"[{u'name': u'Universal Pictures', u'id': 33}, {u'name': u'Amblin Entertainment', u'id': 56}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",1993-06-11,920100000,127.0,"[{u'iso_639_1': u'en', u'name': u'English'}, {u'iso_639_1': u'es', u'name': u'Espa\xf1ol'}]",Released,An adventure 65 million years in the making.,[u'Jurassic Park'],False,7.5,3846
